Day, Vps (kappa=0.2), Vel-ps II, Vel-ps III, Vel-ps IV, Vel-ps V, Vel-ps VI, Vel-ps VII, Vel-ps VIII, Vel-ps IX, Vel-ps X, Vel-ps XI, Vel-ps XII, Vel-ps XIII, Vel-ps XIV, Vel-ps XV, Vel-ps XVI, Vel-ps XVII, Vel-ps XVIII, Vel-ps XIX, Vel-ps XX, Vel-ps XXI, Vel-ps XXII, Vel-ps XXIII, Vel-ps XXIV, Vel-ps XXV, Vel-ps XXVI, Vel-ps XXVII, Vel-ps XXVIII, Vel-ps XXIX, Tau-ps II, Tau-ps III, Tau-ps IV, Tau-ps V, Tau-ps VI, Tau-ps VII, Tau-ps VIII, Tau-ps IX, Tau-ps X, Tau-ps XI, Tau-ps XII, Tau-ps XIII, Tau-ps XIV, Tau-ps XV, Tau-ps XVI, Tau-ps XVII, Tau-ps XVIII, Tau-ps XIX, Tau-ps XX, Tau-ps XXI, Tau-ps XXII, Tau-ps XXIII, Tau-ps XXIV, Tau-ps XXV, Tau-ps XXVI, Tau-ps XXVII, Tau-ps XXVIII, Tau-ps XXIX
0.25, 2.342e+09, 2.101e+09, 2.189e+09, 2.240e+09, 2.277e+09, 2.305e+09, 2.324e+09, 2.333e+09, 2.342e+09, 2.342e+09, 2.342e+09, 2.342e+09, 2.342e+09, 2.342e+09, 2.342e+09, 2.342e+09, 2.342e+09, 2.342e+09, 2.342e+09, 2.342e+09, 2.342e+09, 2.342e+09, 2.342e+09, 2.342e+09, 2.342e+09, 2.342e+09, 2.342e+09, 2.342e+09, 2.342e+09, 1.469e+04, 2.938e+04, 4.406e+04, 5.875e+04, 7.344e+04, 8.813e+04, 1.022e+05, 1.162e+05, 1.296e+05, 1.430e+05, 1.563e+05, 1.697e+05, 1.830e+05, 1.963e+05, 2.083e+05, 2.203e+05, 2.318e+05, 2.433e+05, 2.548e+05, 2.662e+05, 2.776e+05, 2.890e+05, 3.004e+05, 3.119e+05, 3.232e+05, 3.336e+05, 3.419e+05, 3.497e+05
0.50, 2.171e+09, 1.934e+09, 2.018e+09, 2.064e+09, 2.101e+09, 2.129e+09, 2.152e+09, 2.161e+09, 2.171e+09, 2.171e+09, 2.171e+09, 2.171e+09, 2.171e+09, 2.171e+09, 2.171e+09, 2.171e+09, 2.171e+09, 2.171e+09, 2.171e+09, 2.171e+09, 2.171e+09, 2.171e+09, 2.171e+09, 2.171e+09, 2.171e+09, 2.171e+09, 2.171e+09, 2.171e+09, 2.171e+09, 3.778e+03, 7.557e+03, 1.134e+04, 1.511e+04, 1.889e+04, 2.267e+04, 2.629e+04, 2.991e+04, 3.336e+04, 3.681e+04, 4.025e+04, 4.369e+04, 4.713e+04, 5.057e+04, 5.367e+04, 5.677e+04, 5.976e+04, 6.275e+04, 6.572e+04, 6.869e+04, 7.165e+04, 7.460e+04, 7.756e+04, 8.052e+04, 8.345e+04, 8.606e+04, 8.824e+04, 9.020e+04
0.75, 2.069e+09, 1.840e+09, 1.920e+09, 1.969e+09, 2.004e+09, 2.032e+09, 2.051e+09, 2.060e+09, 2.069e+09, 2.069e+09, 2.069e+09, 2.069e+09, 2.069e+09, 2.069e+09, 2.069e+09, 2.069e+09, 2.069e+09, 2.069e+09, 2.069e+09, 2.069e+09, 2.069e+09, 2.069e+09, 2.069e+09, 2.069e+09, 2.069e+09, 2.069e+09, 2.069e+09, 2.069e+09, 2.069e+09, 1.724e+03, 3.448e+03, 5.172e+03, 6.896e+03, 8.619e+03, 1.034e+04, 1.200e+04, 1.365e+04, 1.523e+04, 1.681e+04, 1.838e+04, 1.995e+04, 2.153e+04, 2.310e+04, 2.452e+04, 2.595e+04, 2.732e+04, 2.869e+04, 3.006e+04, 3.142e+04, 3.278e+04, 3.414e+04, 3.550e+04, 3.686e+04, 3.819e+04, 3.939e+04, 4.040e+04, 4.127e+04
1.00, 2.000e+09, 1.773e+09, 1.853e+09, 1.900e+09, 1.934e+09, 1.960e+09, 1.981e+09, 1.991e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 9.933e+02, 1.987e+03, 2.980e+03, 3.973e+03, 4.967e+03, 5.960e+03, 6.913e+03, 7.866e+03, 8.778e+03, 9.690e+03, 1.060e+04, 1.151e+04, 1.242e+04, 1.332e+04, 1.415e+04, 1.497e+04, 1.577e+04, 1.656e+04, 1.736e+04, 1.815e+04, 1.893e+04, 1.972e+04, 2.051e+04, 2.130e+04, 2.207e+04, 2.276e+04, 2.335e+04, 2.384e+04
1.25, 1.946e+09, 1.725e+09, 1.801e+09, 1.847e+09, 1.881e+09, 1.906e+09, 1.930e+09, 1.936e+09, 1.946e+09, 1.946e+09, 1.946e+09, 1.946e+09, 1.946e+09, 1.946e+09, 1.946e+09, 1.946e+09, 1.946e+09, 1.946e+09, 1.946e+09, 1.946e+09, 1.946e+09, 1.946e+09, 1.946e+09, 1.946e+09, 1.946e+09, 1.946e+09, 1.946e+09, 1.946e+09, 1.946e+09, 6.500e+02, 1.300e+03, 1.950e+03, 2.600e+03, 3.250e+03, 3.900e+03, 4.524e+03, 5.148e+03, 5.746e+03, 6.344e+03, 6.940e+03, 7.536e+03, 8.131e+03, 8.726e+03, 9.269e+03, 9.811e+03, 1.033e+04, 1.086e+04, 1.138e+04, 1.190e+04, 1.242e+04, 1.294e+04, 1.345e+04, 1.397e+04, 1.448e+04, 1.493e+04, 1.533e+04, 1.564e+04
1.50, 1.902e+09, 1.685e+09, 1.761e+09, 1.805e+09, 1.840e+09, 1.865e+09, 1.886e+09, 1.895e+09, 1.902e+09, 1.902e+09, 1.902e+09, 1.902e+09, 1.902e+09, 1.902e+09, 1.902e+09, 1.902e+09, 1.902e+09, 1.902e+09, 1.902e+09, 1.902e+09, 1.902e+09, 1.902e+09, 1.902e+09, 1.902e+09, 1.902e+09, 1.902e+09, 1.902e+09, 1.902e+09, 1.902e+09, 4.607e+02, 9.214e+02, 1.382e+03, 1.843e+03, 2.303e+03, 2.764e+03, 3.207e+03, 3.650e+03, 4.074e+03, 4.499e+03, 4.922e+03, 5.345e+03, 5.768e+03, 6.191e+03, 6.576e+03, 6.962e+03, 7.335e+03, 7.708e+03, 8.079e+03, 8.449e+03, 8.819e+03, 9.188e+03, 9.558e+03, 9.927e+03, 1.028e+04, 1.061e+04, 1.089e+04, 1.111e+04
1.75, 1.867e+09, 1.652e+09, 1.727e+09, 1.771e+09, 1.803e+09, 1.828e+09, 1.851e+09, 1.858e+09, 1.865e+09, 1.865e+09, 1.865e+09, 1.865e+09, 1.865e+09, 1.865e+09, 1.865e+09, 1.865e+09, 1.865e+09, 1.865e+09, 1.865e+09, 1.865e+09, 1.865e+09, 1.865e+09, 1.865e+09, 1.865e+09, 1.865e+09, 1.865e+09, 1.865e+09, 1.865e+09, 1.865e+09, 3.449e+02, 6.899e+02, 1.035e+03, 1.380e+03, 1.725e+03, 2.070e+03, 2.401e+03, 2.733e+03, 3.052e+03, 3.370e+03, 3.687e+03, 4.004e+03, 4.322e+03, 4.639e+03, 4.928e+03, 5.218e+03, 5.499e+03, 5.779e+03, 6.058e+03, 6.337e+03, 6.615e+03, 6.893e+03, 7.171e+03, 7.448e+03, 7.716e+03, 7.962e+03, 8.176e+03, 8.335e+03
2.00, 1.835e+09, 1.623e+09, 1.697e+09, 1.741e+09, 1.773e+09, 1.798e+09, 1.819e+09, 1.828e+09, 1.835e+09, 1.835e+09, 1.835e+09, 1.835e+09, 1.835e+09, 1.835e+09, 1.835e+09, 1.835e+09, 1.835e+09, 1.835e+09, 1.835e+09, 1.835e+09, 1.835e+09, 1.835e+09, 1.835e+09, 1.835e+09, 1.835e+09, 1.835e+09, 1.835e+09, 1.835e+09, 1.835e+09, 2.687e+02, 5.375e+02, 8.062e+02, 1.075e+03, 1.344e+03, 1.612e+03, 1.871e+03, 2.130e+03, 2.378e+03, 2.627e+03, 2.874e+03, 3.122e+03, 3.369e+03, 3.617e+03, 3.843e+03, 4.070e+03, 4.289e+03, 4.508e+03, 4.727e+03, 4.945e+03, 5.162e+03, 5.380e+03, 5.597e+03, 5.815e+03, 6.023e+03, 6.216e+03, 6.384e+03, 6.506e+03
2.25, 1.807e+09, 1.598e+09, 1.672e+09, 1.715e+09, 1.748e+09, 1.773e+09, 1.794e+09, 1.801e+09, 1.807e+09, 1.807e+09, 1.807e+09, 1.807e+09, 1.807e+09, 1.807e+09, 1.807e+09, 1.807e+09, 1.807e+09, 1.807e+09, 1.807e+09, 1.807e+09, 1.807e+09, 1.807e+09, 1.807e+09, 1.807e+09, 1.807e+09, 1.807e+09, 1.807e+09, 1.807e+09, 1.807e+09, 2.158e+02, 4.316e+02, 6.474e+02, 8.632e+02, 1.079e+03, 1.295e+03, 1.503e+03, 1.711e+03, 1.910e+03, 2.110e+03, 2.309e+03, 2.508e+03, 2.707e+03, 2.906e+03, 3.089e+03, 3.271e+03, 3.448e+03, 3.625e+03, 3.801e+03, 3.976e+03, 4.152e+03, 4.327e+03, 4.502e+03, 4.677e+03, 4.845e+03, 5.001e+03, 5.137e+03, 5.234e+03
2.50, 1.784e+09, 1.576e+09, 1.649e+09, 1.692e+09, 1.725e+09, 1.748e+09, 1.768e+09, 1.777e+09, 1.784e+09, 1.784e+09, 1.784e+09, 1.784e+09, 1.784e+09, 1.784e+09, 1.784e+09, 1.784e+09, 1.784e+09, 1.784e+09, 1.784e+09, 1.784e+09, 1.784e+09, 1.784e+09, 1.784e+09, 1.784e+09, 1.784e+09, 1.784e+09, 1.784e+09, 1.784e+09, 1.784e+09, 1.775e+02, 3.549e+02, 5.324e+02, 7.098e+02, 8.873e+02, 1.065e+03, 1.236e+03, 1.407e+03, 1.571e+03, 1.736e+03, 1.900e+03, 2.063e+03, 2.227e+03, 2.391e+03, 2.542e+03, 2.692e+03, 2.838e+03, 2.984e+03, 3.129e+03, 3.274e+03, 3.418e+03, 3.563e+03, 3.708e+03, 3.852e+03, 3.990e+03, 4.119e+03, 4.232e+03, 4.310e+03
