Day, Vps (kappa=0.2), Vel-ps II, Vel-ps III, Vel-ps IV, Vel-ps V, Vel-ps VI, Vel-ps VII, Vel-ps VIII, Vel-ps IX, Vel-ps X, Vel-ps XI, Vel-ps XII, Vel-ps XIII, Vel-ps XIV, Vel-ps XV, Vel-ps XVI, Vel-ps XVII, Vel-ps XVIII, Vel-ps XIX, Vel-ps XX, Vel-ps XXI, Vel-ps XXII, Vel-ps XXIII, Vel-ps XXIV, Vel-ps XXV, Vel-ps XXVI, Vel-ps XXVII, Vel-ps XXVIII, Vel-ps XXIX, Tau-ps II, Tau-ps III, Tau-ps IV, Tau-ps V, Tau-ps VI, Tau-ps VII, Tau-ps VIII, Tau-ps IX, Tau-ps X, Tau-ps XI, Tau-ps XII, Tau-ps XIII, Tau-ps XIV, Tau-ps XV, Tau-ps XVI, Tau-ps XVII, Tau-ps XVIII, Tau-ps XIX, Tau-ps XX, Tau-ps XXI, Tau-ps XXII, Tau-ps XXIII, Tau-ps XXIV, Tau-ps XXV, Tau-ps XXVI, Tau-ps XXVII, Tau-ps XXVIII, Tau-ps XXIX
0.25, 2.006e+09, 2.002e+09, 2.004e+09, 2.005e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 1.876e+04, 3.752e+04, 5.629e+04, 7.505e+04, 9.381e+04, 1.126e+05, 1.313e+05, 1.501e+05, 1.689e+05, 1.876e+05, 2.064e+05, 2.251e+05, 2.439e+05, 2.627e+05, 2.814e+05, 3.002e+05, 3.189e+05, 3.377e+05, 3.565e+05, 3.752e+05, 3.940e+05, 4.128e+05, 4.315e+05, 4.503e+05, 4.690e+05, 4.878e+05, 5.066e+05, 5.253e+05
0.50, 2.004e+09, 1.996e+09, 1.997e+09, 2.000e+09, 2.002e+09, 2.002e+09, 2.003e+09, 2.004e+09, 2.004e+09, 2.004e+09, 2.004e+09, 2.005e+09, 2.005e+09, 2.005e+09, 2.005e+09, 2.005e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 2.006e+09, 4.849e+03, 9.699e+03, 1.455e+04, 1.940e+04, 2.425e+04, 2.910e+04, 3.395e+04, 3.880e+04, 4.364e+04, 4.849e+04, 5.334e+04, 5.819e+04, 6.304e+04, 6.789e+04, 7.274e+04, 7.759e+04, 8.244e+04, 8.729e+04, 9.214e+04, 9.699e+04, 1.018e+05, 1.067e+05, 1.115e+05, 1.164e+05, 1.212e+05, 1.261e+05, 1.309e+05, 1.358e+05
0.75, 2.002e+09, 1.987e+09, 1.996e+09, 1.994e+09, 1.996e+09, 1.998e+09, 1.999e+09, 2.000e+09, 2.001e+09, 2.002e+09, 2.002e+09, 2.002e+09, 2.003e+09, 2.003e+09, 2.004e+09, 2.004e+09, 2.004e+09, 2.004e+09, 2.004e+09, 2.004e+09, 2.004e+09, 2.004e+09, 2.004e+09, 2.005e+09, 2.005e+09, 2.005e+09, 2.005e+09, 2.005e+09, 2.005e+09, 2.222e+03, 4.444e+03, 6.665e+03, 8.887e+03, 1.111e+04, 1.333e+04, 1.555e+04, 1.777e+04, 2.000e+04, 2.222e+04, 2.444e+04, 2.666e+04, 2.888e+04, 3.111e+04, 3.333e+04, 3.555e+04, 3.777e+04, 3.999e+04, 4.221e+04, 4.444e+04, 4.666e+04, 4.888e+04, 5.110e+04, 5.332e+04, 5.555e+04, 5.777e+04, 5.999e+04, 6.221e+04
1.00, 1.998e+09, 1.974e+09, 1.989e+09, 1.994e+09, 1.996e+09, 1.994e+09, 1.994e+09, 1.996e+09, 1.997e+09, 1.998e+09, 1.999e+09, 1.999e+09, 2.000e+09, 2.000e+09, 2.001e+09, 2.001e+09, 2.002e+09, 2.002e+09, 2.002e+09, 2.002e+09, 2.002e+09, 2.003e+09, 2.003e+09, 2.003e+09, 2.003e+09, 2.004e+09, 2.004e+09, 2.004e+09, 2.004e+09, 1.285e+03, 2.570e+03, 3.855e+03, 5.140e+03, 6.425e+03, 7.710e+03, 8.995e+03, 1.028e+04, 1.157e+04, 1.285e+04, 1.414e+04, 1.542e+04, 1.671e+04, 1.799e+04, 1.928e+04, 2.056e+04, 2.185e+04, 2.313e+04, 2.442e+04, 2.570e+04, 2.699e+04, 2.827e+04, 2.956e+04, 3.084e+04, 3.213e+04, 3.341e+04, 3.470e+04, 3.598e+04
1.25, 1.994e+09, 1.958e+09, 1.981e+09, 1.988e+09, 1.992e+09, 1.995e+09, 1.996e+09, 1.995e+09, 1.994e+09, 1.994e+09, 1.995e+09, 1.996e+09, 1.997e+09, 1.997e+09, 1.998e+09, 1.999e+09, 1.999e+09, 1.999e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.001e+09, 2.001e+09, 2.002e+09, 2.002e+09, 2.002e+09, 2.002e+09, 2.002e+09, 8.437e+02, 1.687e+03, 2.531e+03, 3.375e+03, 4.218e+03, 5.062e+03, 5.906e+03, 6.749e+03, 7.593e+03, 8.437e+03, 9.280e+03, 1.012e+04, 1.097e+04, 1.181e+04, 1.265e+04, 1.350e+04, 1.434e+04, 1.519e+04, 1.603e+04, 1.687e+04, 1.772e+04, 1.856e+04, 1.940e+04, 2.025e+04, 2.109e+04, 2.194e+04, 2.278e+04, 2.362e+04
1.50, 1.996e+09, 1.937e+09, 1.971e+09, 1.981e+09, 1.987e+09, 1.990e+09, 1.993e+09, 1.995e+09, 1.996e+09, 1.996e+09, 1.995e+09, 1.994e+09, 1.994e+09, 1.994e+09, 1.995e+09, 1.995e+09, 1.996e+09, 1.997e+09, 1.997e+09, 1.997e+09, 1.998e+09, 1.999e+09, 1.999e+09, 1.999e+09, 1.999e+09, 2.000e+09, 2.000e+09, 2.000e+09, 2.000e+09, 5.998e+02, 1.200e+03, 1.799e+03, 2.399e+03, 2.999e+03, 3.599e+03, 4.199e+03, 4.798e+03, 5.398e+03, 5.998e+03, 6.598e+03, 7.197e+03, 7.797e+03, 8.397e+03, 8.997e+03, 9.597e+03, 1.020e+04, 1.080e+04, 1.140e+04, 1.200e+04, 1.260e+04, 1.320e+04, 1.380e+04, 1.439e+04, 1.499e+04, 1.559e+04, 1.619e+04, 1.679e+04
1.75, 1.994e+09, 1.921e+09, 1.959e+09, 1.974e+09, 1.981e+09, 1.985e+09, 1.988e+09, 1.991e+09, 1.992e+09, 1.994e+09, 1.995e+09, 1.996e+09, 1.996e+09, 1.996e+09, 1.995e+09, 1.994e+09, 1.994e+09, 1.994e+09, 1.994e+09, 1.995e+09, 1.995e+09, 1.996e+09, 1.996e+09, 1.996e+09, 1.997e+09, 1.997e+09, 1.997e+09, 1.998e+09, 1.998e+09, 4.503e+02, 9.006e+02, 1.351e+03, 1.801e+03, 2.251e+03, 2.702e+03, 3.152e+03, 3.602e+03, 4.053e+03, 4.503e+03, 4.953e+03, 5.403e+03, 5.854e+03, 6.304e+03, 6.754e+03, 7.205e+03, 7.655e+03, 8.105e+03, 8.556e+03, 9.006e+03, 9.456e+03, 9.906e+03, 1.036e+04, 1.081e+04, 1.126e+04, 1.171e+04, 1.216e+04, 1.261e+04
2.00, 1.990e+09, 1.902e+09, 1.947e+09, 1.963e+09, 1.974e+09, 1.980e+09, 1.984e+09, 1.987e+09, 1.989e+09, 1.990e+09, 1.992e+09, 1.993e+09, 1.994e+09, 1.995e+09, 1.996e+09, 1.996e+09, 1.996e+09, 1.996e+09, 1.995e+09, 1.994e+09, 1.994e+09, 1.994e+09, 1.994e+09, 1.994e+09, 1.994e+09, 1.995e+09, 1.995e+09, 1.996e+09, 1.996e+09, 3.517e+02, 7.034e+02, 1.055e+03, 1.407e+03, 1.759e+03, 2.110e+03, 2.462e+03, 2.814e+03, 3.165e+03, 3.517e+03, 3.869e+03, 4.220e+03, 4.572e+03, 4.924e+03, 5.276e+03, 5.627e+03, 5.979e+03, 6.331e+03, 6.682e+03, 7.034e+03, 7.386e+03, 7.737e+03, 8.089e+03, 8.441e+03, 8.793e+03, 9.144e+03, 9.496e+03, 9.848e+03
2.25, 1.986e+09, 1.882e+09, 1.934e+09, 1.955e+09, 1.965e+09, 1.974e+09, 1.978e+09, 1.982e+09, 1.985e+09, 1.987e+09, 1.988e+09, 1.990e+09, 1.991e+09, 1.992e+09, 1.993e+09, 1.994e+09, 1.995e+09, 1.996e+09, 1.996e+09, 1.996e+09, 1.996e+09, 1.996e+09, 1.995e+09, 1.995e+09, 1.994e+09, 1.994e+09, 1.994e+09, 1.994e+09, 1.994e+09, 2.831e+02, 5.661e+02, 8.492e+02, 1.132e+03, 1.415e+03, 1.698e+03, 1.981e+03, 2.264e+03, 2.548e+03, 2.831e+03, 3.114e+03, 3.397e+03, 3.680e+03, 3.963e+03, 4.246e+03, 4.529e+03, 4.812e+03, 5.095e+03, 5.378e+03, 5.661e+03, 5.944e+03, 6.227e+03, 6.510e+03, 6.793e+03, 7.077e+03, 7.360e+03, 7.643e+03, 7.926e+03
2.50, 1.982e+09, 1.860e+09, 1.919e+09, 1.941e+09, 1.958e+09, 1.966e+09, 1.974e+09, 1.977e+09, 1.981e+09, 1.983e+09, 1.985e+09, 1.987e+09, 1.988e+09, 1.989e+09, 1.990e+09, 1.992e+09, 1.992e+09, 1.993e+09, 1.994e+09, 1.994e+09, 1.995e+09, 1.996e+09, 1.996e+09, 1.996e+09, 1.996e+09, 1.996e+09, 1.996e+09, 1.995e+09, 1.995e+09, 2.332e+02, 4.665e+02, 6.997e+02, 9.329e+02, 1.166e+03, 1.399e+03, 1.633e+03, 1.866e+03, 2.099e+03, 2.332e+03, 2.566e+03, 2.799e+03, 3.032e+03, 3.265e+03, 3.498e+03, 3.732e+03, 3.965e+03, 4.198e+03, 4.431e+03, 4.665e+03, 4.898e+03, 5.131e+03, 5.364e+03, 5.597e+03, 5.831e+03, 6.064e+03, 6.297e+03, 6.530e+03
