Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156"
C ,12,-2.66E+00,0.01,Uncertainties estimated as 1% of abundance values
C ,13,-7.90E+00,0.01,Abundances by mass
N ,14,-5.64E+00,0.01,
N ,15,-8.58E+00,0.01,
O ,16,-1.14E+00,0.01,
O ,17,-6.53E+00,0.01,
O ,18,-8.60E+00,0.01,
F ,19,-1.05E+01,0.01,
Ne ,20,-2.60E+00,0.01,
Ne ,21,-6.53E+00,0.01,
Ne ,22,-4.54E+00,0.01,
Na ,23,-4.57E+00,0.01,
Mg ,24,-1.96E+00,0.01,
Mg ,25,-4.33E+00,0.01,
Mg ,26,-4.16E+00,0.01,
Al ,27,-3.32E+00,0.01,
Si ,28,-6.92E-01,0.01,
Si ,29,-3.13E+00,0.01,
Si ,30,-2.77E+00,0.01,
P ,31,-3.38E+00,0.01,
S ,32,-1.10E+00,0.01,
S ,33,-3.61E+00,0.01,
S ,34,-2.54E+00,0.01,
S ,36,-6.75E+00,0.01,
Cl ,35,-3.89E+00,0.01,
Cl ,37,-4.60E+00,0.01,
Ar ,36,-1.90E+00,0.01,
Ar ,38,-2.86E+00,0.01,
Ar ,40,-8.43E+00,0.01,
K ,39,-4.12E+00,0.01,
K ,41,-5.36E+00,0.01,
Ca ,40,-1.98E+00,0.01,
Ca ,42,-4.53E+00,0.01,
Ca ,43,-7.36E+00,0.01,
Ca ,44,-5.15E+00,0.01,
Ca ,46,-1.05E+01,0.01,
Ca ,48,-1.43E+01,0.01,
Sc ,45,-6.83E+00,0.01,
Ti ,46,-4.82E+00,0.01,
Ti ,47,-6.30E+00,0.01,
Ti ,48,-3.65E+00,0.01,
Ti ,49,-4.73E+00,0.01,
Ti ,50,-6.73E+00,0.01,
V ,50,-8.40E+00,0.01,
V ,51,-4.12E+00,0.01,
Cr ,50,-3.49E+00,0.01,
Cr ,52,-2.21E+00,0.01,
Cr ,53,-3.05E+00,0.01,
Cr ,54,-6.73E+00,0.01,
Mn ,55,-2.18E+00,0.01,
Fe ,54,-1.15E+00,0.01,
Fe ,56,-3.51E-01,0.01,
Fe ,57,-1.87E+00,0.01,
Fe ,58,-4.24E+00,0.01,
Co ,59,-3.42E+00,0.01,
Ni ,58,-1.31E+00,0.01,
Ni ,60,-2.49E+00,0.01,
Ni ,61,-4.47E+00,0.01,
Ni ,62,-3.54E+00,0.01,
Ni ,64,-7.56E+00,0.01,
Cu ,63,-6.57E+00,0.01,
Cu ,65,-7.24E+00,0.01,
Zn ,64,-6.02E+00,0.01,
Zn ,66,-5.89E+00,0.01,
Zn ,67,-9.11E+00,0.01,
Zn ,68,-9.29E+00,0.01,
Zn ,70,-1.48E+01,0.01,
Ga ,69,-1.26E+01,0.01,
Ga ,71,-1.45E+01,0.01,
