Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156"
C ,12,-2.56E+00,0.01,Uncertainties estimated as 1% of abundance values
C ,13,-7.79E+00,0.01,Abundances by mass
N ,14,-5.52E+00,0.01,
N ,15,-8.43E+00,0.01,
O ,16,-1.29E+00,0.01,
O ,17,-6.40E+00,0.01,
O ,18,-8.40E+00,0.01,
F ,19,-1.03E+01,0.01,
Ne ,20,-2.59E+00,0.01,
Ne ,21,-6.43E+00,0.01,
Ne ,22,-4.27E+00,0.01,
Na ,23,-4.52E+00,0.01,
Mg ,24,-2.09E+00,0.01,
Mg ,25,-4.31E+00,0.01,
Mg ,26,-4.13E+00,0.01,
Al ,27,-3.41E+00,0.01,
Si ,28,-8.24E-01,0.01,
Si ,29,-3.26E+00,0.01,
Si ,30,-2.92E+00,0.01,
P ,31,-3.53E+00,0.01,
S ,32,-1.22E+00,0.01,
S ,33,-3.78E+00,0.01,
S ,34,-2.71E+00,0.01,
S ,36,-6.87E+00,0.01,
Cl ,35,-4.05E+00,0.01,
Cl ,37,-4.76E+00,0.01,
Ar ,36,-2.00E+00,0.01,
Ar ,38,-3.04E+00,0.01,
Ar ,40,-8.57E+00,0.01,
K ,39,-4.28E+00,0.01,
K ,41,-5.53E+00,0.01,
Ca ,40,-2.06E+00,0.01,
Ca ,42,-4.70E+00,0.01,
Ca ,43,-7.51E+00,0.01,
Ca ,44,-5.20E+00,0.01,
Ca ,46,-9.30E+00,0.01,
Ca ,48,-1.02E+01,0.01,
Sc ,45,-6.96E+00,0.01,
Ti ,46,-4.99E+00,0.01,
Ti ,47,-6.41E+00,0.01,
Ti ,48,-3.69E+00,0.01,
Ti ,49,-4.78E+00,0.01,
Ti ,50,-4.14E+00,0.01,
V ,50,-7.65E+00,0.01,
V ,51,-3.97E+00,0.01,
Cr ,50,-3.55E+00,0.01,
Cr ,52,-2.09E+00,0.01,
Cr ,53,-2.99E+00,0.01,
Cr ,54,-3.05E+00,0.01,
Mn ,55,-2.01E+00,0.01,
Fe ,54,-1.16E+00,0.01,
Fe ,56,-2.77E-01,0.01,
Fe ,57,-1.80E+00,0.01,
Fe ,58,-2.44E+00,0.01,
Co ,59,-3.15E+00,0.01,
Ni ,58,-1.27E+00,0.01,
Ni ,60,-2.21E+00,0.01,
Ni ,61,-4.07E+00,0.01,
Ni ,62,-2.70E+00,0.01,
Ni ,64,-5.17E+00,0.01,
Cu ,63,-5.79E+00,0.01,
Cu ,65,-6.64E+00,0.01,
Zn ,64,-5.86E+00,0.01,
Zn ,66,-5.71E+00,0.01,
Zn ,67,-8.80E+00,0.01,
Zn ,68,-8.12E+00,0.01,
Zn ,70,-1.18E+01,0.01,
Ga ,69,-1.11E+01,0.01,
Ga ,71,-1.26E+01,0.01,
