Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156"
C ,12,-2.55E+00,0.01,Uncertainties estimated as 1% of abundance values
C ,13,-7.80E+00,0.01,Abundances by mass
N ,14,-5.53E+00,0.01,
N ,15,-8.47E+00,0.01,
O ,16,-1.04E+00,0.01,
O ,17,-6.42E+00,0.01,
O ,18,-8.47E+00,0.01,
F ,19,-1.04E+01,0.01,
Ne ,20,-2.50E+00,0.01,
Ne ,21,-6.42E+00,0.01,
Ne ,22,-4.39E+00,0.01,
Na ,23,-4.46E+00,0.01,
Mg ,24,-1.87E+00,0.01,
Mg ,25,-4.23E+00,0.01,
Mg ,26,-4.06E+00,0.01,
Al ,27,-3.21E+00,0.01,
Si ,28,-5.85E-01,0.01,
Si ,29,-3.04E+00,0.01,
Si ,30,-2.68E+00,0.01,
P ,31,-3.28E+00,0.01,
S ,32,-9.95E-01,0.01,
S ,33,-3.51E+00,0.01,
S ,34,-2.43E+00,0.01,
S ,36,-6.65E+00,0.01,
Cl ,35,-3.78E+00,0.01,
Cl ,37,-4.48E+00,0.01,
Ar ,36,-1.80E+00,0.01,
Ar ,38,-2.74E+00,0.01,
Ar ,40,-8.32E+00,0.01,
K ,39,-3.99E+00,0.01,
K ,41,-5.24E+00,0.01,
Ca ,40,-1.89E+00,0.01,
Ca ,42,-4.40E+00,0.01,
Ca ,43,-7.26E+00,0.01,
Ca ,44,-5.09E+00,0.01,
Ca ,46,-1.04E+01,0.01,
Ca ,48,-1.47E+01,0.01,
Sc ,45,-6.74E+00,0.01,
Ti ,46,-4.70E+00,0.01,
Ti ,47,-6.20E+00,0.01,
Ti ,48,-3.61E+00,0.01,
Ti ,49,-4.69E+00,0.01,
Ti ,50,-9.30E+00,0.01,
V ,50,-8.55E+00,0.01,
V ,51,-4.13E+00,0.01,
Cr ,50,-3.47E+00,0.01,
Cr ,52,-2.23E+00,0.01,
Cr ,53,-3.14E+00,0.01,
Cr ,54,-5.09E+00,0.01,
Mn ,55,-2.01E+00,0.01,
Fe ,54,-1.38E+00,0.01,
Fe ,56,-4.08E-01,0.01,
Fe ,57,-1.98E+00,0.01,
Fe ,58,-7.03E+00,0.01,
Co ,59,-3.96E+00,0.01,
Ni ,58,-1.55E+00,0.01,
Ni ,60,-3.25E+00,0.01,
Ni ,61,-4.64E+00,0.01,
Ni ,62,-3.74E+00,0.01,
Ni ,64,-1.34E+01,0.01,
Cu ,63,-6.90E+00,0.01,
Cu ,65,-7.35E+00,0.01,
Zn ,64,-6.17E+00,0.01,
Zn ,66,-5.98E+00,0.01,
Zn ,67,-9.19E+00,0.01,
Zn ,68,-9.41E+00,0.01,
Zn ,70,-2.34E+01,0.01,
Ga ,69,-1.43E+01,0.01,
Ga ,71,-1.50E+01,0.01,
