Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156"
C ,12,-2.65E+00,0.01,Uncertainties estimated as 1% of abundance values
C ,13,-9.71E+00,0.01,Abundances by mass
N ,14,-7.29E+00,0.01,
N ,15,-7.20E+00,0.01,
O ,16,-1.17E+00,0.01,
O ,17,-8.41E+00,0.01,
O ,18,-9.15E+00,0.01,
F ,19,-1.05E+01,0.01,
Ne ,20,-2.57E+00,0.01,
Ne ,21,-8.31E+00,0.01,
Ne ,22,-6.91E+00,0.01,
Na ,23,-4.91E+00,0.01,
Mg ,24,-1.68E+00,0.01,
Mg ,25,-6.19E+00,0.01,
Mg ,26,-6.13E+00,0.01,
Al ,27,-4.21E+00,0.01,
Si ,28,-6.85E-01,0.01,
Si ,29,-4.02E+00,0.01,
Si ,30,-4.88E+00,0.01,
P ,31,-4.60E+00,0.01,
S ,32,-1.09E+00,0.01,
S ,33,-4.49E+00,0.01,
S ,34,-5.29E+00,0.01,
S ,36,-1.09E+01,0.01,
Cl ,35,-5.39E+00,0.01,
Cl ,37,-5.60E+00,0.01,
Ar ,36,-1.84E+00,0.01,
Ar ,38,-5.41E+00,0.01,
Ar ,40,-1.34E+01,0.01,
K ,39,-5.59E+00,0.01,
K ,41,-6.45E+00,0.01,
Ca ,40,-1.90E+00,0.01,
Ca ,42,-7.20E+00,0.01,
Ca ,43,-8.35E+00,0.01,
Ca ,44,-5.04E+00,0.01,
Ca ,46,-1.24E+01,0.01,
Ca ,48,-1.45E+01,0.01,
Sc ,45,-7.55E+00,0.01,
Ti ,46,-6.81E+00,0.01,
Ti ,47,-7.15E+00,0.01,
Ti ,48,-3.56E+00,0.01,
Ti ,49,-5.31E+00,0.01,
Ti ,50,-6.75E+00,0.01,
V ,50,-8.79E+00,0.01,
V ,51,-4.73E+00,0.01,
Cr ,50,-4.21E+00,0.01,
Cr ,52,-2.16E+00,0.01,
Cr ,53,-3.35E+00,0.01,
Cr ,54,-5.12E+00,0.01,
Mn ,55,-2.25E+00,0.01,
Fe ,54,-1.33E+00,0.01,
Fe ,56,-3.19E-01,0.01,
Fe ,57,-2.04E+00,0.01,
Fe ,58,-4.26E+00,0.01,
Co ,59,-3.27E+00,0.01,
Ni ,58,-1.45E+00,0.01,
Ni ,60,-2.42E+00,0.01,
Ni ,61,-4.71E+00,0.01,
Ni ,62,-4.05E+00,0.01,
Ni ,64,-7.59E+00,0.01,
Cu ,63,-5.04E+00,0.01,
Cu ,65,-6.98E+00,0.01,
Zn ,64,-4.72E+00,0.01,
Zn ,66,-6.51E+00,0.01,
Zn ,67,-9.91E+00,0.01,
Zn ,68,-9.97E+00,0.01,
Zn ,70,-1.48E+01,0.01,
Ga ,69,-1.26E+01,0.01,
Ga ,71,-1.47E+01,0.01,
