Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156"
C ,12,-2.20E+00,0.01,Uncertainties estimated as 1% of abundance values
C ,13,-7.45E+00,0.01,Abundances by mass
N ,14,-5.18E+00,0.01,
N ,15,-8.09E+00,0.01,
O ,16,-1.06E+00,0.01,
O ,17,-6.06E+00,0.01,
O ,18,-8.05E+00,0.01,
F ,19,-1.00E+01,0.01,
Ne ,20,-2.32E+00,0.01,
Ne ,21,-6.11E+00,0.01,
Ne ,22,-3.82E+00,0.01,
Na ,23,-4.22E+00,0.01,
Mg ,24,-1.85E+00,0.01,
Mg ,25,-4.02E+00,0.01,
Mg ,26,-3.84E+00,0.01,
Al ,27,-3.16E+00,0.01,
Si ,28,-6.42E-01,0.01,
Si ,29,-3.04E+00,0.01,
Si ,30,-2.69E+00,0.01,
P ,31,-3.31E+00,0.01,
S ,32,-1.04E+00,0.01,
S ,33,-3.58E+00,0.01,
S ,34,-2.52E+00,0.01,
S ,36,-6.64E+00,0.01,
Cl ,35,-3.85E+00,0.01,
Cl ,37,-4.59E+00,0.01,
Ar ,36,-1.83E+00,0.01,
Ar ,38,-2.85E+00,0.01,
Ar ,40,-8.35E+00,0.01,
K ,39,-4.10E+00,0.01,
K ,41,-5.35E+00,0.01,
Ca ,40,-1.90E+00,0.01,
Ca ,42,-4.52E+00,0.01,
Ca ,43,-7.37E+00,0.01,
Ca ,44,-5.07E+00,0.01,
Ca ,46,-1.04E+01,0.01,
Ca ,48,-1.32E+01,0.01,
Sc ,45,-6.80E+00,0.01,
Ti ,46,-4.81E+00,0.01,
Ti ,47,-6.27E+00,0.01,
Ti ,48,-3.57E+00,0.01,
Ti ,49,-4.66E+00,0.01,
Ti ,50,-6.05E+00,0.01,
V ,50,-8.32E+00,0.01,
V ,51,-4.07E+00,0.01,
Cr ,50,-3.44E+00,0.01,
Cr ,52,-2.15E+00,0.01,
Cr ,53,-3.01E+00,0.01,
Cr ,54,-4.64E+00,0.01,
Mn ,55,-2.02E+00,0.01,
Fe ,54,-1.13E+00,0.01,
Fe ,56,-4.19E-01,0.01,
Fe ,57,-1.95E+00,0.01,
Fe ,58,-3.82E+00,0.01,
Co ,59,-3.44E+00,0.01,
Ni ,58,-1.35E+00,0.01,
Ni ,60,-2.49E+00,0.01,
Ni ,61,-4.74E+00,0.01,
Ni ,62,-3.67E+00,0.01,
Ni ,64,-6.93E+00,0.01,
Cu ,63,-6.64E+00,0.01,
Cu ,65,-7.53E+00,0.01,
Zn ,64,-6.34E+00,0.01,
Zn ,66,-6.26E+00,0.01,
Zn ,67,-9.46E+00,0.01,
Zn ,68,-9.37E+00,0.01,
Zn ,70,-1.40E+01,0.01,
Ga ,69,-1.22E+01,0.01,
Ga ,71,-1.42E+01,0.01,
