Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156 Table 3"
C ,14,-5.36E+00,0.01,Uncertainties estimated as 1% of abundance values
Na ,22,-8.20E+00,0.01,Abundances by mass
Al ,26,-6.11E+00,0.01,
Si ,32,-7.87E+00,0.01,
P ,32,-6.29E+00,0.01,
P ,33,-6.43E+00,0.01,
S ,35,-6.25E+00,0.01,
Cl ,36,-6.12E+00,0.01,
Ar ,37,-4.49E+00,0.01,
Ar ,39,-7.89E+00,0.01,
K ,40,-7.24E+00,0.01,
Ca ,41,-5.24E+00,0.01,
Ti ,44,-4.92E+00,0.01,
V ,48,-7.02E+00,0.01,
V ,49,-6.36E+00,0.01,
Cr ,48,-3.41E+00,0.01,
Cr ,49,-4.51E+00,0.01,
Cr ,51,-4.82E+00,0.01,
Mn ,51,-3.93E+00,0.01,
Mn ,52,-5.19E+00,0.01,
Mn ,53,-3.29E+00,0.01,
Mn ,54,-4.67E+00,0.01,
Fe ,52,-2.01E+00,0.01,
Fe ,53,-2.91E+00,0.01,
Fe ,55,-2.40E+00,0.01,
Fe ,59,-6.16E+00,0.01,
Fe ,60,-6.48E+00,0.01,
Co ,55,-1.86E+00,0.01,
Co ,56,-3.78E+00,0.01,
Co ,57,-2.74E+00,0.01,
Co ,58,-4.84E+00,0.01,
Co ,60,-5.93E+00,0.01,
Ni ,56,-2.76E-02,0.01,
Ni ,57,-1.56E+00,0.01,
Ni ,59,-3.12E+00,0.01,
Ni ,63,-5.73E+00,0.01,
Zn ,62,-3.15E+00,0.01,
Zn ,65,-8.66E+00,0.01,
Ge ,65,-7.01E+00,0.01,
Ge ,68,-8.92E+00,0.01,
