Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156 Table 3"
C ,14,-5.27E+00,0.01,Uncertainties estimated as 1% of abundance values
Na ,22,-8.03E+00,0.01,Abundances by mass
Al ,26,-5.90E+00,0.01,
Si ,32,-7.71E+00,0.01,
P ,32,-5.98E+00,0.01,
P ,33,-6.10E+00,0.01,
S ,35,-5.92E+00,0.01,
Cl ,36,-5.77E+00,0.01,
Ar ,37,-4.11E+00,0.01,
Ar ,39,-7.56E+00,0.01,
K ,40,-6.88E+00,0.01,
Ca ,41,-4.86E+00,0.01,
Ti ,44,-4.71E+00,0.01,
V ,48,-6.71E+00,0.01,
V ,49,-6.16E+00,0.01,
Cr ,48,-3.23E+00,0.01,
Cr ,49,-4.32E+00,0.01,
Cr ,51,-4.89E+00,0.01,
Mn ,51,-3.78E+00,0.01,
Mn ,52,-5.07E+00,0.01,
Mn ,53,-3.82E+00,0.01,
Mn ,54,-6.34E+00,0.01,
Fe ,52,-1.85E+00,0.01,
Fe ,53,-2.79E+00,0.01,
Fe ,55,-3.31E+00,0.01,
Fe ,59,-1.47E+01,0.01,
Fe ,60,-1.72E+01,0.01,
Co ,55,-1.80E+00,0.01,
Co ,56,-4.02E+00,0.01,
Co ,57,-3.94E+00,0.01,
Co ,58,-6.66E+00,0.01,
Co ,60,-1.19E+01,0.01,
Ni ,56,-2.64E-02,0.01,
Ni ,57,-1.60E+00,0.01,
Ni ,59,-3.99E+00,0.01,
Ni ,63,-1.36E+01,0.01,
Zn ,62,-3.36E+00,0.01,
Zn ,65,-9.14E+00,0.01,
Ge ,65,-7.12E+00,0.01,
Ge ,68,-9.03E+00,0.01,
