Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156 Table 3"
C ,14,-5.75E+00,0.01,Uncertainties estimated as 1% of abundance values
Na ,22,-8.18E+00,0.01,Abundances by mass
Al ,26,-6.25E+00,0.01,
Si ,32,-8.63E+00,0.01,
P ,32,-6.55E+00,0.01,
P ,33,-6.68E+00,0.01,
S ,35,-6.89E+00,0.01,
Cl ,36,-6.38E+00,0.01,
Ar ,37,-4.47E+00,0.01,
Ar ,39,-8.43E+00,0.01,
K ,40,-7.65E+00,0.01,
Ca ,41,-5.24E+00,0.01,
Ti ,44,-4.79E+00,0.01,
V ,48,-7.07E+00,0.01,
V ,49,-6.53E+00,0.01,
Cr ,48,-3.29E+00,0.01,
Cr ,49,-4.51E+00,0.01,
Cr ,51,-5.10E+00,0.01,
Mn ,51,-3.98E+00,0.01,
Mn ,52,-5.16E+00,0.01,
Mn ,53,-3.53E+00,0.01,
Mn ,54,-5.37E+00,0.01,
Fe ,52,-1.90E+00,0.01,
Fe ,53,-2.91E+00,0.01,
Fe ,55,-2.59E+00,0.01,
Fe ,59,-8.40E+00,0.01,
Fe ,60,-9.21E+00,0.01,
Co ,55,-1.85E+00,0.01,
Co ,56,-3.79E+00,0.01,
Co ,57,-2.90E+00,0.01,
Co ,58,-5.19E+00,0.01,
Co ,60,-7.53E+00,0.01,
Ni ,56,-2.56E-02,0.01,
Ni ,57,-1.63E+00,0.01,
Ni ,59,-3.24E+00,0.01,
Ni ,63,-7.59E+00,0.01,
Zn ,62,-3.47E+00,0.01,
Zn ,65,-8.90E+00,0.01,
Ge ,65,-7.00E+00,0.01,
Ge ,68,-9.38E+00,0.01,
