Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156 Table 3"
C ,14,-4.39E+00,0.01,Uncertainties estimated as 1% of abundance values
Na ,22,-7.20E+00,0.01,Abundances by mass
Al ,26,-5.11E+00,0.01,
Si ,32,-6.90E+00,0.01,
P ,32,-5.39E+00,0.01,
P ,33,-5.52E+00,0.01,
S ,35,-5.31E+00,0.01,
Cl ,36,-5.23E+00,0.01,
Ar ,37,-3.80E+00,0.01,
Ar ,39,-7.03E+00,0.01,
K ,40,-6.37E+00,0.01,
Ca ,41,-4.56E+00,0.01,
Ti ,44,-4.95E+00,0.01,
V ,48,-6.50E+00,0.01,
V ,49,-5.94E+00,0.01,
Cr ,48,-3.58E+00,0.01,
Cr ,49,-4.55E+00,0.01,
Cr ,51,-4.39E+00,0.01,
Mn ,51,-3.88E+00,0.01,
Mn ,52,-4.95E+00,0.01,
Mn ,53,-2.95E+00,0.01,
Mn ,54,-4.94E+00,0.01,
Fe ,52,-2.06E+00,0.01,
Fe ,53,-2.83E+00,0.01,
Fe ,55,-2.03E+00,0.01,
Fe ,59,-1.16E+01,0.01,
Fe ,60,-1.38E+01,0.01,
Co ,55,-1.64E+00,0.01,
Co ,56,-3.46E+00,0.01,
Co ,57,-2.37E+00,0.01,
Co ,58,-4.68E+00,0.01,
Co ,60,-9.07E+00,0.01,
Ni ,56,-3.74E-02,0.01,
Ni ,57,-1.50E+00,0.01,
Ni ,59,-2.78E+00,0.01,
Ni ,63,-1.01E+01,0.01,
Zn ,62,-3.55E+00,0.01,
Zn ,65,-8.84E+00,0.01,
Ge ,65,-7.24E+00,0.01,
Ge ,68,-9.14E+00,0.01,
