Elem,Atomic Weight,Abundance,Uncertainty,"All values from Seitenzahl et al., 2013, MNRAS 429:1156 Table 3"
C ,14,-5.15E+00,0.01,Uncertainties estimated as 1% of abundance values
Na ,22,-8.37E+00,0.01,Abundances by mass
Al ,26,-6.27E+00,0.01,
Si ,32,-7.83E+00,0.01,
P ,32,-6.63E+00,0.01,
P ,33,-6.81E+00,0.01,
S ,35,-6.58E+00,0.01,
Cl ,36,-6.52E+00,0.01,
Ar ,37,-5.07E+00,0.01,
Ar ,39,-8.29E+00,0.01,
K ,40,-7.66E+00,0.01,
Ca ,41,-5.82E+00,0.01,
Ti ,44,-5.39E+00,0.01,
V ,48,-7.64E+00,0.01,
V ,49,-7.07E+00,0.01,
Cr ,48,-3.89E+00,0.01,
Cr ,49,-5.01E+00,0.01,
Cr ,51,-5.71E+00,0.01,
Mn ,51,-4.44E+00,0.01,
Mn ,52,-5.80E+00,0.01,
Mn ,53,-4.33E+00,0.01,
Mn ,54,-6.29E+00,0.01,
Fe ,52,-2.44E+00,0.01,
Fe ,53,-3.36E+00,0.01,
Fe ,55,-3.50E+00,0.01,
Fe ,59,-9.27E+00,0.01,
Fe ,60,-1.00E+01,0.01,
Co ,55,-2.22E+00,0.01,
Co ,56,-4.35E+00,0.01,
Co ,57,-3.84E+00,0.01,
Co ,58,-6.13E+00,0.01,
Co ,60,-8.46E+00,0.01,
Ni ,56,-1.76E-02,0.01,
Ni ,57,-1.55E+00,0.01,
Ni ,59,-3.91E+00,0.01,
Ni ,63,-8.50E+00,0.01,
Zn ,62,-3.18E+00,0.01,
Zn ,65,-9.35E+00,0.01,
Ge ,65,-7.20E+00,0.01,
Ge ,68,-9.07E+00,0.01,
