Day, Vps (kappa=0.2), Vel-ps II, Vel-ps III, Vel-ps IV, Vel-ps V, Vel-ps VI, Vel-ps VII, Vel-ps VIII, Vel-ps IX, Vel-ps X, Vel-ps XI, Vel-ps XII, Vel-ps XIII, Vel-ps XIV, Vel-ps XV, Vel-ps XVI, Vel-ps XVII, Vel-ps XVIII, Vel-ps XIX, Vel-ps XX, Vel-ps XXI, Vel-ps XXII, Vel-ps XXIII, Vel-ps XXIV, Vel-ps XXV, Vel-ps XXVI, Vel-ps XXVII, Vel-ps XXVIII, Vel-ps XXIX, Tau-ps II, Tau-ps III, Tau-ps IV, Tau-ps V, Tau-ps VI, Tau-ps VII, Tau-ps VIII, Tau-ps IX, Tau-ps X, Tau-ps XI, Tau-ps XII, Tau-ps XIII, Tau-ps XIV, Tau-ps XV, Tau-ps XVI, Tau-ps XVII, Tau-ps XVIII, Tau-ps XIX, Tau-ps XX, Tau-ps XXI, Tau-ps XXII, Tau-ps XXIII, Tau-ps XXIV, Tau-ps XXV, Tau-ps XXVI, Tau-ps XXVII, Tau-ps XXVIII, Tau-ps XXIX
0.25, 3.846e+09, 3.921e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 3.924e+09, 1.906e+04, 3.787e+04, 5.668e+04, 7.549e+04, 9.430e+04, 1.131e+05, 1.318e+05, 1.505e+05, 1.690e+05, 1.875e+05, 2.060e+05, 2.245e+05, 2.429e+05, 2.613e+05, 2.788e+05, 2.962e+05, 3.133e+05, 3.304e+05, 3.474e+05, 3.645e+05, 3.815e+05, 3.985e+05, 4.155e+05, 4.325e+05, 4.494e+05, 4.649e+05, 4.772e+05, 4.889e+05
0.50, 3.668e+09, 3.749e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 3.751e+09, 4.923e+03, 9.786e+03, 1.465e+04, 1.951e+04, 2.437e+04, 2.923e+04, 3.407e+04, 3.891e+04, 4.369e+04, 4.848e+04, 5.325e+04, 5.802e+04, 6.279e+04, 6.756e+04, 7.208e+04, 7.660e+04, 8.103e+04, 8.546e+04, 8.988e+04, 9.430e+04, 9.871e+04, 1.031e+05, 1.075e+05, 1.119e+05, 1.163e+05, 1.202e+05, 1.234e+05, 1.264e+05
0.75, 3.584e+09, 3.642e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 3.646e+09, 2.255e+03, 4.482e+03, 6.709e+03, 8.936e+03, 1.116e+04, 1.339e+04, 1.561e+04, 1.782e+04, 2.002e+04, 2.221e+04, 2.440e+04, 2.659e+04, 2.877e+04, 3.096e+04, 3.303e+04, 3.511e+04, 3.714e+04, 3.918e+04, 4.121e+04, 4.324e+04, 4.527e+04, 4.729e+04, 4.932e+04, 5.134e+04, 5.334e+04, 5.512e+04, 5.662e+04, 5.792e+04
1.00, 3.482e+09, 3.591e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 3.594e+09, 1.303e+03, 2.592e+03, 3.880e+03, 5.168e+03, 6.456e+03, 7.744e+03, 9.026e+03, 1.031e+04, 1.158e+04, 1.285e+04, 1.411e+04, 1.538e+04, 1.664e+04, 1.791e+04, 1.911e+04, 2.031e+04, 2.149e+04, 2.267e+04, 2.385e+04, 2.503e+04, 2.620e+04, 2.738e+04, 2.855e+04, 2.973e+04, 3.088e+04, 3.191e+04, 3.279e+04, 3.352e+04
1.25, 3.372e+09, 3.517e+09, 3.522e+09, 3.522e+09, 3.522e+09, 3.522e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 3.523e+09, 8.555e+02, 1.701e+03, 2.547e+03, 3.392e+03, 4.238e+03, 5.083e+03, 5.925e+03, 6.767e+03, 7.601e+03, 8.434e+03, 9.265e+03, 1.010e+04, 1.093e+04, 1.176e+04, 1.255e+04, 1.334e+04, 1.412e+04, 1.489e+04, 1.567e+04, 1.644e+04, 1.722e+04, 1.799e+04, 1.876e+04, 1.954e+04, 2.029e+04, 2.097e+04, 2.155e+04, 2.202e+04
1.50, 3.257e+09, 3.438e+09, 3.444e+09, 3.444e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 3.445e+09, 6.080e+02, 1.209e+03, 1.810e+03, 2.411e+03, 3.013e+03, 3.614e+03, 4.212e+03, 4.811e+03, 5.403e+03, 5.996e+03, 6.587e+03, 7.179e+03, 7.769e+03, 8.360e+03, 8.924e+03, 9.487e+03, 1.004e+04, 1.059e+04, 1.114e+04, 1.170e+04, 1.225e+04, 1.280e+04, 1.335e+04, 1.390e+04, 1.443e+04, 1.492e+04, 1.534e+04, 1.566e+04
1.75, 3.138e+09, 3.356e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.363e+09, 3.364e+09, 3.364e+09, 3.364e+09, 3.364e+09, 4.563e+02, 9.077e+02, 1.359e+03, 1.810e+03, 2.261e+03, 2.713e+03, 3.162e+03, 3.612e+03, 4.057e+03, 4.502e+03, 4.946e+03, 5.390e+03, 5.833e+03, 6.277e+03, 6.701e+03, 7.124e+03, 7.540e+03, 7.956e+03, 8.371e+03, 8.786e+03, 9.200e+03, 9.615e+03, 1.003e+04, 1.044e+04, 1.084e+04, 1.121e+04, 1.153e+04, 1.177e+04
2.00, 3.017e+09, 3.271e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.280e+09, 3.563e+02, 7.088e+02, 1.061e+03, 1.414e+03, 1.766e+03, 2.119e+03, 2.470e+03, 2.821e+03, 3.168e+03, 3.516e+03, 3.863e+03, 4.210e+03, 4.556e+03, 4.903e+03, 5.234e+03, 5.565e+03, 5.891e+03, 6.216e+03, 6.541e+03, 6.866e+03, 7.190e+03, 7.514e+03, 7.838e+03, 8.162e+03, 8.473e+03, 8.761e+03, 9.011e+03, 9.194e+03
2.25, 2.895e+09, 3.185e+09, 3.194e+09, 3.194e+09, 3.194e+09, 3.194e+09, 3.194e+09, 3.195e+09, 3.195e+09, 3.195e+09, 3.195e+09, 3.195e+09, 3.195e+09, 3.195e+09, 3.195e+09, 3.195e+09, 3.195e+09, 3.195e+09, 3.195e+09, 3.195e+09, 3.195e+09, 3.195e+09, 3.195e+09, 3.195e+09, 3.195e+09, 3.195e+09, 3.195e+09, 3.195e+09, 3.195e+09, 2.867e+02, 5.704e+02, 8.541e+02, 1.138e+03, 1.421e+03, 1.705e+03, 1.988e+03, 2.270e+03, 2.550e+03, 2.830e+03, 3.109e+03, 3.388e+03, 3.667e+03, 3.947e+03, 4.213e+03, 4.480e+03, 4.742e+03, 5.005e+03, 5.267e+03, 5.528e+03, 5.790e+03, 6.051e+03, 6.312e+03, 6.573e+03, 6.823e+03, 7.056e+03, 7.258e+03, 7.403e+03
2.50, 2.774e+09, 3.097e+09, 3.107e+09, 3.107e+09, 3.107e+09, 3.107e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 3.108e+09, 2.362e+02, 4.699e+02, 7.036e+02, 9.373e+02, 1.171e+03, 1.405e+03, 1.638e+03, 1.870e+03, 2.101e+03, 2.332e+03, 2.562e+03, 2.792e+03, 3.022e+03, 3.252e+03, 3.472e+03, 3.692e+03, 3.909e+03, 4.125e+03, 4.341e+03, 4.557e+03, 4.772e+03, 4.988e+03, 5.204e+03, 5.419e+03, 5.625e+03, 5.817e+03, 5.985e+03, 6.102e+03
2.75, 2.651e+09, 3.008e+09, 3.019e+09, 3.019e+09, 3.019e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 3.020e+09, 1.983e+02, 3.945e+02, 5.907e+02, 7.870e+02, 9.832e+02, 1.179e+03, 1.375e+03, 1.570e+03, 1.764e+03, 1.958e+03, 2.151e+03, 2.344e+03, 2.537e+03, 2.731e+03, 2.916e+03, 3.100e+03, 3.282e+03, 3.464e+03, 3.646e+03, 3.828e+03, 4.009e+03, 4.190e+03, 4.371e+03, 4.552e+03, 4.725e+03, 4.887e+03, 5.028e+03, 5.125e+03
3.00, 2.521e+09, 2.917e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 2.931e+09, 1.690e+02, 3.364e+02, 5.037e+02, 6.710e+02, 8.383e+02, 1.006e+03, 1.172e+03, 1.339e+03, 1.504e+03, 1.669e+03, 1.834e+03, 1.999e+03, 2.164e+03, 2.329e+03, 2.486e+03, 2.644e+03, 2.800e+03, 2.955e+03, 3.110e+03, 3.265e+03, 3.420e+03, 3.574e+03, 3.729e+03, 3.884e+03, 4.030e+03, 4.169e+03, 4.290e+03, 4.371e+03
