Day, Vps (kappa=0.2), Vel-ps II, Vel-ps III, Vel-ps IV, Vel-ps V, Vel-ps VI, Vel-ps VII, Vel-ps VIII, Vel-ps IX, Vel-ps X, Vel-ps XI, Vel-ps XII, Vel-ps XIII, Vel-ps XIV, Vel-ps XV, Vel-ps XVI, Vel-ps XVII, Vel-ps XVIII, Vel-ps XIX, Vel-ps XX, Vel-ps XXI, Vel-ps XXII, Vel-ps XXIII, Vel-ps XXIV, Vel-ps XXV, Vel-ps XXVI, Vel-ps XXVII, Vel-ps XXVIII, Vel-ps XXIX, Tau-ps II, Tau-ps III, Tau-ps IV, Tau-ps V, Tau-ps VI, Tau-ps VII, Tau-ps VIII, Tau-ps IX, Tau-ps X, Tau-ps XI, Tau-ps XII, Tau-ps XIII, Tau-ps XIV, Tau-ps XV, Tau-ps XVI, Tau-ps XVII, Tau-ps XVIII, Tau-ps XIX, Tau-ps XX, Tau-ps XXI, Tau-ps XXII, Tau-ps XXIII, Tau-ps XXIV, Tau-ps XXV, Tau-ps XXVI, Tau-ps XXVII, Tau-ps XXVIII, Tau-ps XXIX
0.25, 1.944e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.878e+04, 3.755e+04, 5.633e+04, 7.510e+04, 9.388e+04, 1.127e+05, 1.314e+05, 1.502e+05, 1.690e+05, 1.878e+05, 2.065e+05, 2.253e+05, 2.441e+05, 2.629e+05, 2.816e+05, 3.004e+05, 3.192e+05, 3.380e+05, 3.567e+05, 3.755e+05, 3.943e+05, 4.131e+05, 4.318e+05, 4.506e+05, 4.694e+05, 4.882e+05, 5.070e+05, 5.257e+05
0.50, 1.943e+09, 1.938e+09, 1.941e+09, 1.942e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 1.944e+09, 4.853e+03, 9.706e+03, 1.456e+04, 1.941e+04, 2.426e+04, 2.912e+04, 3.397e+04, 3.882e+04, 4.368e+04, 4.853e+04, 5.338e+04, 5.824e+04, 6.309e+04, 6.794e+04, 7.279e+04, 7.765e+04, 8.250e+04, 8.735e+04, 9.221e+04, 9.706e+04, 1.019e+05, 1.068e+05, 1.116e+05, 1.165e+05, 1.213e+05, 1.262e+05, 1.310e+05, 1.359e+05
0.75, 1.943e+09, 1.931e+09, 1.937e+09, 1.940e+09, 1.940e+09, 1.941e+09, 1.941e+09, 1.942e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 2.223e+03, 4.447e+03, 6.670e+03, 8.894e+03, 1.112e+04, 1.334e+04, 1.556e+04, 1.779e+04, 2.001e+04, 2.223e+04, 2.446e+04, 2.668e+04, 2.890e+04, 3.113e+04, 3.335e+04, 3.557e+04, 3.780e+04, 4.002e+04, 4.224e+04, 4.447e+04, 4.669e+04, 4.891e+04, 5.114e+04, 5.336e+04, 5.558e+04, 5.781e+04, 6.003e+04, 6.226e+04
1.00, 1.941e+09, 1.922e+09, 1.933e+09, 1.936e+09, 1.938e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.941e+09, 1.941e+09, 1.941e+09, 1.942e+09, 1.942e+09, 1.942e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.286e+03, 2.572e+03, 3.858e+03, 5.144e+03, 6.430e+03, 7.715e+03, 9.001e+03, 1.029e+04, 1.157e+04, 1.286e+04, 1.415e+04, 1.543e+04, 1.672e+04, 1.800e+04, 1.929e+04, 2.057e+04, 2.186e+04, 2.315e+04, 2.443e+04, 2.572e+04, 2.700e+04, 2.829e+04, 2.958e+04, 3.086e+04, 3.215e+04, 3.343e+04, 3.472e+04, 3.601e+04
1.25, 1.940e+09, 1.911e+09, 1.927e+09, 1.932e+09, 1.935e+09, 1.937e+09, 1.938e+09, 1.939e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.941e+09, 1.941e+09, 1.941e+09, 1.941e+09, 1.941e+09, 1.942e+09, 1.942e+09, 1.942e+09, 1.942e+09, 1.942e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 1.943e+09, 8.442e+02, 1.688e+03, 2.533e+03, 3.377e+03, 4.221e+03, 5.065e+03, 5.910e+03, 6.754e+03, 7.598e+03, 8.442e+03, 9.287e+03, 1.013e+04, 1.098e+04, 1.182e+04, 1.266e+04, 1.351e+04, 1.435e+04, 1.520e+04, 1.604e+04, 1.688e+04, 1.773e+04, 1.857e+04, 1.942e+04, 2.026e+04, 2.111e+04, 2.195e+04, 2.279e+04, 2.364e+04
1.50, 1.938e+09, 1.897e+09, 1.920e+09, 1.928e+09, 1.931e+09, 1.934e+09, 1.935e+09, 1.937e+09, 1.937e+09, 1.938e+09, 1.939e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.941e+09, 1.941e+09, 1.941e+09, 1.941e+09, 1.941e+09, 1.941e+09, 1.941e+09, 1.942e+09, 1.942e+09, 1.942e+09, 1.942e+09, 6.002e+02, 1.200e+03, 1.801e+03, 2.401e+03, 3.001e+03, 3.601e+03, 4.201e+03, 4.801e+03, 5.402e+03, 6.002e+03, 6.602e+03, 7.202e+03, 7.802e+03, 8.403e+03, 9.003e+03, 9.603e+03, 1.020e+04, 1.080e+04, 1.140e+04, 1.200e+04, 1.260e+04, 1.320e+04, 1.380e+04, 1.440e+04, 1.500e+04, 1.560e+04, 1.621e+04, 1.681e+04
1.75, 1.936e+09, 1.883e+09, 1.912e+09, 1.922e+09, 1.927e+09, 1.931e+09, 1.933e+09, 1.934e+09, 1.935e+09, 1.936e+09, 1.937e+09, 1.937e+09, 1.938e+09, 1.939e+09, 1.939e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.941e+09, 1.941e+09, 1.941e+09, 1.941e+09, 1.941e+09, 4.506e+02, 9.012e+02, 1.352e+03, 1.802e+03, 2.253e+03, 2.704e+03, 3.154e+03, 3.605e+03, 4.055e+03, 4.506e+03, 4.956e+03, 5.407e+03, 5.858e+03, 6.308e+03, 6.759e+03, 7.209e+03, 7.660e+03, 8.111e+03, 8.561e+03, 9.012e+03, 9.462e+03, 9.913e+03, 1.036e+04, 1.081e+04, 1.126e+04, 1.172e+04, 1.217e+04, 1.262e+04
2.00, 1.934e+09, 1.868e+09, 1.902e+09, 1.916e+09, 1.922e+09, 1.926e+09, 1.929e+09, 1.931e+09, 1.933e+09, 1.934e+09, 1.935e+09, 1.935e+09, 1.936e+09, 1.937e+09, 1.937e+09, 1.938e+09, 1.938e+09, 1.939e+09, 1.939e+09, 1.939e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.940e+09, 3.519e+02, 7.039e+02, 1.056e+03, 1.408e+03, 1.760e+03, 2.112e+03, 2.463e+03, 2.815e+03, 3.167e+03, 3.519e+03, 3.871e+03, 4.223e+03, 4.575e+03, 4.927e+03, 5.279e+03, 5.631e+03, 5.983e+03, 6.335e+03, 6.687e+03, 7.039e+03, 7.390e+03, 7.742e+03, 8.094e+03, 8.446e+03, 8.798e+03, 9.150e+03, 9.502e+03, 9.854e+03
2.25, 1.931e+09, 1.850e+09, 1.893e+09, 1.909e+09, 1.917e+09, 1.922e+09, 1.926e+09, 1.928e+09, 1.930e+09, 1.931e+09, 1.933e+09, 1.934e+09, 1.934e+09, 1.935e+09, 1.935e+09, 1.936e+09, 1.937e+09, 1.937e+09, 1.937e+09, 1.938e+09, 1.938e+09, 1.938e+09, 1.939e+09, 1.939e+09, 1.939e+09, 1.940e+09, 1.940e+09, 1.940e+09, 1.940e+09, 2.832e+02, 5.665e+02, 8.497e+02, 1.133e+03, 1.416e+03, 1.699e+03, 1.983e+03, 2.266e+03, 2.549e+03, 2.832e+03, 3.116e+03, 3.399e+03, 3.682e+03, 3.965e+03, 4.249e+03, 4.532e+03, 4.815e+03, 5.098e+03, 5.382e+03, 5.665e+03, 5.948e+03, 6.231e+03, 6.514e+03, 6.798e+03, 7.081e+03, 7.364e+03, 7.647e+03, 7.931e+03
2.50, 1.928e+09, 1.839e+09, 1.882e+09, 1.901e+09, 1.911e+09, 1.917e+09, 1.921e+09, 1.924e+09, 1.927e+09, 1.928e+09, 1.930e+09, 1.931e+09, 1.932e+09, 1.933e+09, 1.934e+09, 1.934e+09, 1.935e+09, 1.935e+09, 1.936e+09, 1.937e+09, 1.937e+09, 1.937e+09, 1.937e+09, 1.938e+09, 1.938e+09, 1.938e+09, 1.938e+09, 1.939e+09, 1.939e+09, 2.334e+02, 4.667e+02, 7.001e+02, 9.335e+02, 1.167e+03, 1.400e+03, 1.634e+03, 1.867e+03, 2.100e+03, 2.334e+03, 2.567e+03, 2.800e+03, 3.034e+03, 3.267e+03, 3.501e+03, 3.734e+03, 3.967e+03, 4.201e+03, 4.434e+03, 4.667e+03, 4.901e+03, 5.134e+03, 5.368e+03, 5.601e+03, 5.834e+03, 6.068e+03, 6.301e+03, 6.534e+03
