Day, Vps (kappa=0.2), Vel-ps I, Vel-ps II, Vel-ps III, Vel-ps IV, Vel-ps V, Vel-ps VI, Vel-ps VII, Vel-ps VIII, Vel-ps IX, Vel-ps X, Vel-ps XI, Vel-ps XII, Vel-ps XIII, Vel-ps XIV, Vel-ps XV, Vel-ps XVI, Vel-ps XVII, Vel-ps XVIII, Vel-ps XIX, Vel-ps XX, Vel-ps XXI, Vel-ps XXII, Vel-ps XXIII, Vel-ps XXIV, Vel-ps XXV, Vel-ps XXVI, Vel-ps XXVII, Vel-ps XXVIII, Tau-ps I, Tau-ps II, Tau-ps III, Tau-ps IV, Tau-ps V, Tau-ps VI, Tau-ps VII, Tau-ps VIII, Tau-ps IX, Tau-ps X, Tau-ps XI, Tau-ps XII, Tau-ps XIII, Tau-ps XIV, Tau-ps XV, Tau-ps XVI, Tau-ps XVII, Tau-ps XVIII, Tau-ps XIX, Tau-ps XX, Tau-ps XXI, Tau-ps XXII, Tau-ps XXIII, Tau-ps XXIV, Tau-ps XXV, Tau-ps XXVI, Tau-ps XXVII, Tau-ps XXVIII
0.25, 4.296e+09, 4.674e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 4.703e+09, 1.876e+04, 3.751e+04, 5.626e+04, 7.500e+04, 9.375e+04, 1.125e+05, 1.312e+05, 1.498e+05, 1.683e+05, 1.868e+05, 2.052e+05, 2.237e+05, 2.421e+05, 2.605e+05, 2.780e+05, 2.954e+05, 3.125e+05, 3.296e+05, 3.466e+05, 3.637e+05, 3.807e+05, 3.976e+05, 4.146e+05, 4.316e+05, 4.486e+05, 4.641e+05, 4.764e+05, 4.881e+05
0.50, 3.487e+09, 3.851e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 3.865e+09, 4.849e+03, 9.695e+03, 1.454e+04, 1.939e+04, 2.423e+04, 2.908e+04, 3.390e+04, 3.873e+04, 4.351e+04, 4.829e+04, 5.306e+04, 5.783e+04, 6.259e+04, 6.736e+04, 7.188e+04, 7.640e+04, 8.083e+04, 8.526e+04, 8.968e+04, 9.409e+04, 9.850e+04, 1.029e+05, 1.073e+05, 1.117e+05, 1.161e+05, 1.200e+05, 1.232e+05, 1.262e+05
0.75, 2.966e+09, 3.365e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 3.379e+09, 2.222e+03, 4.442e+03, 6.662e+03, 8.882e+03, 1.110e+04, 1.332e+04, 1.553e+04, 1.775e+04, 1.994e+04, 2.213e+04, 2.431e+04, 2.650e+04, 2.868e+04, 3.087e+04, 3.294e+04, 3.502e+04, 3.705e+04, 3.909e+04, 4.112e+04, 4.315e+04, 4.518e+04, 4.720e+04, 4.923e+04, 5.125e+04, 5.325e+04, 5.502e+04, 5.653e+04, 5.783e+04
1.00, 2.683e+09, 2.994e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 3.012e+09, 1.285e+03, 2.569e+03, 3.853e+03, 5.137e+03, 6.421e+03, 7.705e+03, 8.985e+03, 1.026e+04, 1.153e+04, 1.280e+04, 1.406e+04, 1.533e+04, 1.659e+04, 1.786e+04, 1.906e+04, 2.026e+04, 2.144e+04, 2.262e+04, 2.380e+04, 2.498e+04, 2.615e+04, 2.733e+04, 2.850e+04, 2.968e+04, 3.082e+04, 3.186e+04, 3.274e+04, 3.347e+04
1.25, 2.662e+09, 2.649e+09, 2.679e+09, 2.682e+09, 2.685e+09, 2.686e+09, 2.687e+09, 2.687e+09, 2.688e+09, 2.688e+09, 2.688e+09, 2.688e+09, 2.688e+09, 2.688e+09, 2.688e+09, 2.688e+09, 2.688e+09, 2.688e+09, 2.688e+09, 2.688e+09, 2.688e+09, 2.688e+09, 2.688e+09, 2.688e+09, 2.688e+09, 2.688e+09, 2.688e+09, 2.688e+09, 2.688e+09, 8.437e+02, 1.687e+03, 2.530e+03, 3.373e+03, 4.216e+03, 5.059e+03, 5.899e+03, 6.739e+03, 7.571e+03, 8.404e+03, 9.235e+03, 1.007e+04, 1.090e+04, 1.173e+04, 1.252e+04, 1.331e+04, 1.408e+04, 1.486e+04, 1.564e+04, 1.641e+04, 1.718e+04, 1.796e+04, 1.873e+04, 1.950e+04, 2.025e+04, 2.093e+04, 2.152e+04, 2.199e+04
1.50, 2.633e+09, 2.497e+09, 2.566e+09, 2.598e+09, 2.619e+09, 2.633e+09, 2.643e+09, 2.649e+09, 2.655e+09, 2.656e+09, 2.658e+09, 2.659e+09, 2.661e+09, 2.661e+09, 2.662e+09, 2.662e+09, 2.662e+09, 2.663e+09, 2.663e+09, 2.663e+09, 2.663e+09, 2.663e+09, 2.663e+09, 2.663e+09, 2.663e+09, 2.663e+09, 2.663e+09, 2.663e+09, 2.663e+09, 5.998e+02, 1.199e+03, 1.799e+03, 2.398e+03, 2.997e+03, 3.597e+03, 4.194e+03, 4.791e+03, 5.383e+03, 5.975e+03, 6.566e+03, 7.157e+03, 7.747e+03, 8.338e+03, 8.901e+03, 9.464e+03, 1.002e+04, 1.057e+04, 1.112e+04, 1.167e+04, 1.222e+04, 1.278e+04, 1.333e+04, 1.388e+04, 1.441e+04, 1.490e+04, 1.532e+04, 1.564e+04
1.75, 2.604e+09, 2.468e+09, 2.501e+09, 2.539e+09, 2.563e+09, 2.581e+09, 2.595e+09, 2.607e+09, 2.616e+09, 2.619e+09, 2.622e+09, 2.624e+09, 2.626e+09, 2.627e+09, 2.628e+09, 2.628e+09, 2.629e+09, 2.629e+09, 2.629e+09, 2.629e+09, 2.629e+09, 2.629e+09, 2.629e+09, 2.629e+09, 2.629e+09, 2.629e+09, 2.629e+09, 2.629e+09, 2.629e+09, 4.503e+02, 9.003e+02, 1.350e+03, 1.800e+03, 2.250e+03, 2.700e+03, 3.149e+03, 3.597e+03, 4.042e+03, 4.486e+03, 4.930e+03, 5.374e+03, 5.817e+03, 6.261e+03, 6.684e+03, 7.107e+03, 7.523e+03, 7.939e+03, 8.354e+03, 8.769e+03, 9.184e+03, 9.598e+03, 1.001e+04, 1.043e+04, 1.083e+04, 1.119e+04, 1.151e+04, 1.175e+04
2.00, 2.575e+09, 2.321e+09, 2.464e+09, 2.496e+09, 2.522e+09, 2.542e+09, 2.558e+09, 2.570e+09, 2.580e+09, 2.583e+09, 2.587e+09, 2.590e+09, 2.591e+09, 2.593e+09, 2.594e+09, 2.595e+09, 2.595e+09, 2.595e+09, 2.595e+09, 2.595e+09, 2.596e+09, 2.596e+09, 2.596e+09, 2.596e+09, 2.596e+09, 2.596e+09, 2.596e+09, 2.596e+09, 2.596e+09, 3.517e+02, 7.032e+02, 1.055e+03, 1.406e+03, 1.758e+03, 2.109e+03, 2.459e+03, 2.810e+03, 3.157e+03, 3.504e+03, 3.851e+03, 4.198e+03, 4.544e+03, 4.891e+03, 5.222e+03, 5.553e+03, 5.878e+03, 6.204e+03, 6.528e+03, 6.853e+03, 7.177e+03, 7.501e+03, 7.825e+03, 8.150e+03, 8.460e+03, 8.748e+03, 8.998e+03, 9.181e+03
2.25, 2.551e+09, 2.210e+09, 2.433e+09, 2.465e+09, 2.487e+09, 2.509e+09, 2.527e+09, 2.540e+09, 2.551e+09, 2.554e+09, 2.558e+09, 2.561e+09, 2.562e+09, 2.564e+09, 2.565e+09, 2.565e+09, 2.566e+09, 2.566e+09, 2.566e+09, 2.566e+09, 2.566e+09, 2.566e+09, 2.566e+09, 2.566e+09, 2.566e+09, 2.566e+09, 2.566e+09, 2.566e+09, 2.566e+09, 2.831e+02, 5.659e+02, 8.488e+02, 1.132e+03, 1.415e+03, 1.697e+03, 1.979e+03, 2.261e+03, 2.541e+03, 2.820e+03, 3.100e+03, 3.379e+03, 3.658e+03, 3.937e+03, 4.203e+03, 4.470e+03, 4.732e+03, 4.995e+03, 5.256e+03, 5.518e+03, 5.779e+03, 6.041e+03, 6.302e+03, 6.563e+03, 6.813e+03, 7.046e+03, 7.248e+03, 7.392e+03
2.50, 2.528e+09, 2.122e+09, 2.342e+09, 2.473e+09, 2.465e+09, 2.483e+09, 2.498e+09, 2.514e+09, 2.525e+09, 2.529e+09, 2.532e+09, 2.534e+09, 2.537e+09, 2.538e+09, 2.539e+09, 2.540e+09, 2.540e+09, 2.540e+09, 2.541e+09, 2.541e+09, 2.541e+09, 2.541e+09, 2.541e+09, 2.541e+09, 2.541e+09, 2.541e+09, 2.541e+09, 2.541e+09, 2.541e+09, 2.332e+02, 4.663e+02, 6.994e+02, 9.325e+02, 1.166e+03, 1.399e+03, 1.631e+03, 1.863e+03, 2.094e+03, 2.324e+03, 2.554e+03, 2.784e+03, 3.014e+03, 3.244e+03, 3.464e+03, 3.684e+03, 3.900e+03, 4.117e+03, 4.333e+03, 4.549e+03, 4.764e+03, 4.980e+03, 5.195e+03, 5.411e+03, 5.616e+03, 5.809e+03, 5.977e+03, 6.093e+03
